name,position,points,date
Kevin Durant,SF,32,2021-10-19
Blake Griffin,PF,6,2021-10-19
James Harden,PG,20,2021-10-19
Joe Harris,SG,9,2021-10-19
Nicolas Claxton,C,12,2021-10-19
LaMarcus Aldridge,C,1,2021-10-19
Paul Millsap,C,0,2021-10-19
James Johnson,PF,1,2021-10-19
Patty Mills,SG,21,2021-10-19
DeAndre' Bembry,SF,0,2021-10-19
Jevon Carter,PG,0,2021-10-19
"Bruce Brown, Jr.",SG,0,2021-10-19
Cam Thomas,PG,2,2021-10-19
Brook Lopez,C,8,2021-10-19
Jrue Holiday,PG,12,2021-10-19
Khris Middleton,SF,20,2021-10-19
Giannis Antetokounmpo,PF,32,2021-10-19
Grayson Allen,SG,10,2021-10-19
George Hill,PG,1,2021-10-19
Pat Connaughton,SF,20,2021-10-19
Thanasis Antetokounmpo,PF,6,2021-10-19
Justin Robinson,PG,3,2021-10-19
Jordan Nwora,PF,15,2021-10-19
Georgios Kalaitzakis,SF,0,2021-10-19
Sandro Mamukelashvili,C,0,2021-10-19
Stephen Curry,PG,21,2021-10-19
Draymond Green,PF,6,2021-10-19
Andrew Wiggins,SF,12,2021-10-19
Kevon Looney,C,7,2021-10-19
Jordan Poole,SG,20,2021-10-19
Andre Iguodala,SF,12,2021-10-19
Nemanja Bjelica,PF,15,2021-10-19
Otto Porter,PF,5,2021-10-19
Juan Toscano-Anderson,PF,6,2021-10-19
Damion Lee,SG,15,2021-10-19
Gary Payton II,PG,0,2021-10-19
Moses Moody,SG,2,2021-10-19
LeBron James,SF,34,2021-10-19
Russell Westbrook,PG,8,2021-10-19
DeAndre Jordan,C,2,2021-10-19
Anthony Davis,PF,33,2021-10-19
Kent Bazemore,SG,8,2021-10-19
Rajon Rondo,PG,3,2021-10-19
Dwight Howard,C,5,2021-10-19
Carmelo Anthony,PF,9,2021-10-19
Avery Bradley,PG,6,2021-10-19
Malik Monk,SG,6,2021-10-19
Derrick Favors,C,4,2021-10-20
Luguentz Dort,SG,7,2021-10-20
Shai Gilgeous-Alexander,PG,18,2021-10-20
Darius Bazley,PF,15,2021-10-20
Josh Giddey,SF,4,2021-10-20
Kenrich Williams,SF,7,2021-10-20
Isaiah Roby,PF,8,2021-10-20
Vit Krejci,PG,0,2021-10-20
Jeremiah Robinson-Earl,PF,10,2021-10-20
Theo Maledon,PG,4,2021-10-20
Tre Mann,SG,9,2021-10-20
Aleksej Pokusevski,C,0,2021-10-20
Mike Conley,PG,10,2021-10-20
Bojan Bogdanovic,SF,22,2021-10-20
Rudy Gobert,C,16,2021-10-20
Royce O'Neale,PF,0,2021-10-20
Donovan Mitchell,SG,16,2021-10-20
Joe Ingles,PG,14,2021-10-20
Hassan Whiteside,C,6,2021-10-20
Jordan Clarkson,SG,18,2021-10-20
Eric Paschall,PF,3,2021-10-20
Malik Fitts,PF,0,2021-10-20
Miye Oni,SF,0,2021-10-20
Elijah Hughes,SF,2,2021-10-20
Jared Butler,PG,0,2021-10-20
Lauri Markkanen,SF,10,2021-10-20
Darius Garland,PG,13,2021-10-20
Jarrett Allen,C,25,2021-10-20
Collin Sexton,SG,17,2021-10-20
Evan Mobley,PF,17,2021-10-20
Kevin Love,PF,4,2021-10-20
Ricky Rubio,PG,12,2021-10-20
Cedi Osman,SF,15,2021-10-20
Isaac Okoro,SG,8,2021-10-20
Steven Adams,C,8,2021-10-20
De'Anthony Melton,SG,20,2021-10-20
"Jaren Jackson, Jr.",PF,13,2021-10-20
Desmond Bane,SF,22,2021-10-20
Ja Morant,PG,37,2021-10-20
Kyle Anderson,PF,10,2021-10-20
Tyus Jones,PG,9,2021-10-20
John Konchar,SG,4,2021-10-20
Brandon Clarke,PF,6,2021-10-20
Ziaire Williams,SF,3,2021-10-20
"Wendell Carter, Jr.",PF,13,2021-10-20
Mohamed Bamba,C,18,2021-10-20
Cole Anthony,PG,10,2021-10-20
Franz Wagner,SF,12,2021-10-20
Jalen Suggs,SG,10,2021-10-20
Robin Lopez,C,4,2021-10-20
Terrence Ross,SF,15,2021-10-20
Moe Wagner,C,7,2021-10-20
Ignas Brazdeikis,PF,2,2021-10-20
R.J. Hampton,SG,6,2021-10-20
Doug McDermott,PF,12,2021-10-20
Jakob Poeltl,C,12,2021-10-20
Derrick White,SG,16,2021-10-20
Dejounte Murray,PG,15,2021-10-20
Keldon Johnson,SF,15,2021-10-20
Bryn Forbes,SG,0,2021-10-20
Keita Bates-Diop,PF,7,2021-10-20
Jock Landale,C,1,2021-10-20
Drew Eubanks,C,2,2021-10-20
Lonnie Walker,SG,17,2021-10-20
Tre Jones,PG,4,2021-10-20
Devin Vassell,SF,19,2021-10-20
Joshua Primo,SG,3,2021-10-20
Marcus Smart,PG,15,2021-10-20
Jayson Tatum,SF,20,2021-10-20
Jaylen Brown,SG,46,2021-10-20
Grant Williams,PF,15,2021-10-20
Robert Williams,C,16,2021-10-20
Dennis Schroder,PG,12,2021-10-20
Payton Pritchard,PG,0,2021-10-20
Romeo Langford,SG,10,2021-10-20
Aaron Nesmith,PF,0,2021-10-20
Kemba Walker,PG,10,2021-10-20
Julius Randle,PF,35,2021-10-20
Evan Fournier,SG,32,2021-10-20
Mitchell Robinson,C,11,2021-10-20
R.J. Barrett,SF,19,2021-10-20
Derrick Rose,PG,9,2021-10-20
Alec Burks,SF,5,2021-10-20
Immanuel Quickley,PG,2,2021-10-20
Jericho Sims,C,1,2021-10-20
Quentin Grimes,SG,0,2021-10-20
Obi Toppin,PF,14,2021-10-20
Daniel Theis,C,11,2021-10-20
Christian Wood,PF,16,2021-10-20
Jae'sean Tate,SF,2,2021-10-20
"Kevin Porter, Jr.",PG,11,2021-10-20
Jalen Green,SG,9,2021-10-20
Eric Gordon,SF,15,2021-10-20
D.J. Augustin,PG,2,2021-10-20
David Nwaba,SF,7,2021-10-20
Armoni Brooks,PG,6,2021-10-20
Usman Garuba,C,4,2021-10-20
