team,name,position,passing,rushing,receiving,date
LVR,Derek Carr,QB,196,6,0,2021-10-04
LVR,Josh Jacobs,RB,0,40,17,2021-10-04
LVR,Henry Ruggs III,WR,0,0,60,2021-10-04
LVR,Darren Waller,TE,0,0,50,2021-10-04
LVR,Hunter Renfrow,WR,0,0,45,2021-10-04
LVR,Bryan Edwards,WR,0,0,4,2021-10-04
LAC,Justin Herbert,QB,222,4,0,2021-10-04
LAC,Austin Ekeler,RB,0,117,28,2021-10-04
LAC,Jalen Guyton,WR,0,20,9,2021-10-04
LAC,Jared Cook,TE,0,0,70,2021-10-04
LAC,Keenan Allen,WR,0,0,36,2021-10-04
LAC,Mike Williams,WR,0,0,11,2021-10-04
LAR,Matthew Stafford,QB,365,-1,0,2021-10-07
LAR,Darrell Henderson,RB,0,82,17,2021-10-07
LAR,Robert Woods,WR,0,0,150,2021-10-07
LAR,Cooper Kupp,WR,0,0,92,2021-10-07
LAR,Van Jefferson,WR,0,0,16,2021-10-07
LAR,Tyler Higbee,TE,0,0,14,2021-10-07
SEA,Russell Wilson,QB,152,10,0,2021-10-07
SEA,Alex Collins,RB,0,47,25,2021-10-07
SEA,D.K. Metcalf,WR,0,0,98,2021-10-07
SEA,Tyler Lockett,WR,0,0,57,2021-10-07
SEA,Will Dissly,TE,0,0,29,2021-10-07
SEA,Freddie Swain,WR,0,0,9,2021-10-07
NYJ,Zach Wilson,QB,192,3,0,2021-10-10
NYJ,Michael Carter,RB,0,38,20,2021-10-10
NYJ,Corey Davis,WR,0,0,45,2021-10-10
NYJ,Keelan Cole,WR,0,0,38,2021-10-10
NYJ,Ryan Griffin,TE,0,0,4,2021-10-10
ATL,Matt Ryan,QB,342,-1,0,2021-10-10
ATL,Mike Davis,RB,0,53,8,2021-10-10
ATL,Kyle Pitts,TE,0,0,119,2021-10-10
ATL,Tajae Sharpe,WR,0,0,53,2021-10-10
ATL,Hayden Hurst,TE,0,0,40,2021-10-10
ATL,Olamide Zaccheaus,WR,0,0,20,2021-10-10
PHI,Jalen Hurts,QB,198,30,0,2021-10-10
PHI,Miles Sanders,RB,0,45,6,2021-10-10
PHI,DeVonta Smith,WR,0,0,77,2021-10-10
PHI,Quez Watkins,WR,0,0,48,2021-10-10
PHI,Jalen Reagor,WR,0,0,24,2021-10-10
PHI,Zach Ertz,TE,0,0,7,2021-10-10
CAR,Sam Darnold,QB,177,10,0,2021-10-10
CAR,Chuba Hubbard,RB,0,101,33,2021-10-10
CAR,Robby Anderson,WR,0,0,30,2021-10-10
CAR,Terrace Marshall Jr.,WR,0,0,14,2021-10-10
CAR,Tommy Tremble,TE,0,0,12,2021-10-10
CAR,D.J. Moore,WR,0,-4,42,2021-10-10
GNB,Aaron Rodgers,QB,344,0,0,2021-10-10
GNB,Aaron Jones,RB,0,103,6,2021-10-10
GNB,Davante Adams,WR,0,0,206,2021-10-10
GNB,Marcedes Lewis,TE,0,0,34,2021-10-10
GNB,Robert Tonyan,TE,0,0,8,2021-10-10
GNB,Allen Lazard,WR,0,0,6,2021-10-10
CIN,Joe Burrow,QB,281,11,0,2021-10-10
CIN,Joe Mixon,RB,0,33,2,2021-10-10
CIN,Ja'Marr Chase,WR,0,0,159,2021-10-10
CIN,Tee Higgins,WR,0,0,32,2021-10-10
CIN,Tyler Boyd,WR,0,0,24,2021-10-10
CIN,C.J. Uzomah,TE,0,0,16,2021-10-10
MIA,Jacoby Brissett,QB,275,0,0,2021-10-10
MIA,Myles Gaskin,RB,0,25,74,2021-10-10
MIA,Preston Williams,WR,0,7,60,2021-10-10
MIA,Jaylen Waddle,WR,0,2,31,2021-10-10
MIA,Mike Gesicki,TE,0,0,43,2021-10-10
MIA,Adam Shaheen,TE,0,0,15,2021-10-10
TAM,Tom Brady,QB,411,13,0,2021-10-10
TAM,Leonard Fournette,RB,0,67,43,2021-10-10
TAM,Antonio Brown,WR,0,0,124,2021-10-10
TAM,Mike Evans,WR,0,0,113,2021-10-10
TAM,Chris Godwin,WR,0,0,70,2021-10-10
TAM,O.J. Howard,TE,0,0,19,2021-10-10
NOR,Jameis Winston,QB,279,26,0,2021-10-10
NOR,Alvin Kamara,RB,0,71,51,2021-10-10
NOR,Kenny Stills,WR,0,1,17,2021-10-10
NOR,Marquez Callaway,WR,0,0,85,2021-10-10
NOR,Adam Trautman,TE,0,0,43,2021-10-10
NOR,Taysom Hill,WR,0,0,11,2021-10-10
WAS,Taylor Heinicke,QB,248,40,0,2021-10-10
WAS,Antonio Gibson,RB,0,60,12,2021-10-10
WAS,DeAndre Carter,WR,0,11,62,2021-10-10
WAS,Adam Humphries,WR,0,0,73,2021-10-10
WAS,Terry McLaurin,WR,0,0,46,2021-10-10
WAS,Ricky Seals-Jones,TE,0,0,41,2021-10-10
DEN,Teddy Bridgewater,QB,288,11,0,2021-10-10
DEN,Melvin Gordon,RB,0,34,9,2021-10-10
DEN,Courtland Sutton,WR,0,0,120,2021-10-10
DEN,Tim Patrick,WR,0,0,89,2021-10-10
DEN,Noah Fant,TE,0,0,20,2021-10-10
PIT,Ben Roethlisberger,QB,253,-1,0,2021-10-10
PIT,Najee Harris,RB,0,122,20,2021-10-10
PIT,JuJu Smith-Schuster,WR,0,6,0,2021-10-10
PIT,Chase Claypool,WR,0,0,130,2021-10-10
PIT,Diontae Johnson,WR,0,0,72,2021-10-10
PIT,Zach Gentry,TE,0,0,13,2021-10-10
DET,Jared Goff,QB,203,0,0,2021-10-10
DET,Jamaal Williams,RB,0,57,8,2021-10-10
DET,Amon-Ra St. Brown,WR,0,0,65,2021-10-10
DET,Quintez Cephus,WR,0,0,38,2021-10-10
DET,T.J. Hockenson,TE,0,0,22,2021-10-10
DET,Kalif Raymond,WR,0,0,0,2021-10-10
MIN,Kirk Cousins,QB,275,4,0,2021-10-10
MIN,Alexander Mattison,RB,0,113,40,2021-10-10
MIN,Justin Jefferson,WR,0,0,124,2021-10-10
MIN,Adam Thielen,WR,0,0,40,2021-10-10
MIN,Tyler Conklin,TE,0,0,25,2021-10-10
MIN,K.J. Osborn,WR,0,0,14,2021-10-10
NWE,Mac Jones,QB,231,3,0,2021-10-10
NWE,Damien Harris,RB,0,58,0,2021-10-10
NWE,Jonnu Smith,TE,0,5,27,2021-10-10
NWE,Hunter Henry,TE,0,0,75,2021-10-10
NWE,Jakobi Meyers,WR,0,0,56,2021-10-10
NWE,Nelson Agholor,WR,0,0,32,2021-10-10
HOU,Davis Mills,QB,312,2,0,2021-10-10
HOU,Mark Ingram,RB,0,41,0,2021-10-10
HOU,Chris Conley,WR,0,0,84,2021-10-10
HOU,Brandin Cooks,WR,0,0,23,2021-10-10
HOU,Pharaoh Brown,TE,0,0,22,2021-10-10
HOU,Antony Auclair,TE,0,0,11,2021-10-10
TEN,Ryan Tannehill,QB,197,21,0,2021-10-10
TEN,Derrick Henry,RB,0,130,0,2021-10-10
TEN,Marcus Johnson,WR,0,0,52,2021-10-10
TEN,A.J. Brown,WR,0,0,38,2021-10-10
TEN,Geoff Swaim,TE,0,0,0,2021-10-10
JAX,Trevor Lawrence,QB,273,28,0,2021-10-10
JAX,James Robinson,RB,0,149,-2,2021-10-10
JAX,Laviska Shenault Jr.,WR,0,0,58,2021-10-10
JAX,Marvin Jones,WR,0,0,25,2021-10-10
JAX,Jacob Hollister,TE,0,0,1,2021-10-10
CHI,Justin Fields,QB,111,4,0,2021-10-10
CHI,Damien Williams,RB,0,64,20,2021-10-10
