team,name,position,passing,rushing,receiving,date
HOU,Deshaun Watson,QB,253,27,0,2020-09-10
HOU,David Johnson,RB,0,77,32,2020-09-10
HOU,Will Fuller,WR,0,0,112,2020-09-10
HOU,Jordan Akins,TE,0,0,39,2020-09-10
HOU,Brandin Cooks,WR,0,0,20,2020-09-10
HOU,Darren Fells,TE,0,0,19,2020-09-10
KAN,Patrick Mahomes,QB,211,0,0,2020-09-10
KAN,Clyde Edwards-Helaire,RB,0,138,0,2020-09-10
KAN,Sammy Watkins,WR,0,3,82,2020-09-10
KAN,Travis Kelce,TE,0,0,50,2020-09-10
KAN,Tyreek Hill,WR,0,0,46,2020-09-10
KAN,Demarcus Robinson,WR,0,0,20,2020-09-10
SEA,Russell Wilson,QB,322,29,0,2020-09-10
SEA,Chris Carson,RB,0,21,45,2020-09-10
SEA,David Moore,WR,0,12,28,2020-09-10
SEA,D.K. Metcalf,WR,0,0,95,2020-09-10
SEA,Tyler Lockett,WR,0,0,92,2020-09-10
SEA,Greg Olsen,TE,0,0,24,2020-09-10
ATL,Matt Ryan,QB,450,-1,0,2020-09-10
ATL,Todd Gurley,RB,0,56,1,2020-09-10
ATL,Julio Jones,WR,0,0,157,2020-09-10
ATL,Russell Gage,WR,0,0,114,2020-09-10
ATL,Calvin Ridley,WR,0,-1,130,2020-09-10
NYJ,Sam Darnold,QB,215,6,0,2020-09-10
NYJ,Frank Gore,RB,0,24,0,2020-09-10
NYJ,Le'Veon Bell,RB,0,14,32,2020-09-10
NYJ,Jamison Crowder,WR,0,0,115,2020-09-10
NYJ,Chris Herndon,TE,0,0,37,2020-09-10
NYJ,Breshad Perriman,WR,0,0,17,2020-09-10
BUF,Josh Allen,QB,312,57,0,2020-09-10
BUF,Devin Singletary,RB,0,30,23,2020-09-10
BUF,Stefon Diggs,WR,0,0,86,2020-09-10
BUF,John Brown,WR,0,0,70,2020-09-10
BUF,Cole Beasley,WR,0,0,58,2020-09-10
BUF,Gabriel Davis,WR,0,0,16,2020-09-10
PHI,Carson Wentz,QB,270,2,0,2020-09-10
PHI,Boston Scott,RB,0,35,19,2020-09-10
PHI,Dallas Goedert,TE,0,0,101,2020-09-10
PHI,Jalen Reagor,WR,0,0,55,2020-09-10
PHI,DeSean Jackson,WR,0,0,46,2020-09-10
PHI,Zach Ertz,TE,0,0,18,2020-09-10
WAS,Dwayne Haskins,QB,178,17,0,2020-09-10
WAS,Antonio Gibson,RB,0,36,8,2020-09-10
WAS,Terry McLaurin,WR,0,0,61,2020-09-10
WAS,Steven Sims,WR,0,0,50,2020-09-10
WAS,J.D. McKissic,WR,0,-2,1,2020-09-10
GNB,Aaron Rodgers,QB,364,2,0,2020-09-10
GNB,Aaron Jones,RB,0,66,10,2020-09-10
GNB,Allen Lazard,WR,0,19,63,2020-09-10
GNB,Davante Adams,WR,0,0,156,2020-09-10
GNB,Josiah Deguara,TE,0,0,12,2020-09-10
MIN,Kirk Cousins,QB,259,34,0,2020-09-10
MIN,Dalvin Cook,RB,0,50,-2,2020-09-10
MIN,Adam Thielen,WR,0,0,110,2020-09-10
MIN,Olabisi Johnson,WR,0,0,56,2020-09-10
MIN,Kyle Rudolph,TE,0,0,28,2020-09-10
CLE,Baker Mayfield,QB,189,3,0,2020-09-10
CLE,Nick Chubb,RB,0,60,6,2020-09-10
CLE,Jarvis Landry,WR,0,0,61,2020-09-10
CLE,Odell Beckham Jr.,WR,0,0,22,2020-09-10
CLE,Austin Hooper,TE,0,0,15,2020-09-10
CLE,Harrison Bryant,TE,0,0,5,2020-09-10
BAL,Lamar Jackson,QB,275,45,0,2020-09-10
BAL,Mark Ingram,RB,0,29,0,2020-09-10
BAL,Willie Snead,WR,0,0,64,2020-09-10
BAL,Miles Boykin,WR,0,0,37,2020-09-10
BAL,Nick Boyle,TE,0,0,3,2020-09-10
BAL,Patrick Ricard,DE,0,-1,9,2020-09-10
MIA,Ryan Fitzpatrick,QB,191,18,0,2020-09-10
MIA,Jordan Howard,RB,0,7,0,2020-09-10
MIA,DeVante Parker,WR,0,0,47,2020-09-10
MIA,Preston Williams,WR,0,0,41,2020-09-10
MIA,Mike Gesicki,TE,0,0,30,2020-09-10
NWE,Cam Newton,QB,155,75,0,2020-09-10
NWE,Sony Michel,RB,0,37,0,2020-09-10
NWE,N'Keal Harry,WR,0,0,39,2020-09-10
NWE,Ryan Izzo,TE,0,0,25,2020-09-10
IND,Philip Rivers,QB,363,3,0,2020-09-10
IND,Marlon Mack,RB,0,26,30,2020-09-10
IND,Parris Campbell,WR,0,9,71,2020-09-10
IND,T.Y. Hilton,WR,0,0,53,2020-09-10
IND,Jack Doyle,TE,0,0,49,2020-09-10
IND,Zach Pascal,WR,0,0,18,2020-09-10
JAX,Gardner Minshew II,QB,173,19,0,2020-09-10
JAX,James Robinson,RB,0,62,28,2020-09-10
JAX,Laviska Shenault Jr.,WR,0,10,37,2020-09-10
JAX,DJ Chark,WR,0,0,25,2020-09-10
JAX,Bruce Miller,FB,0,0,2,2020-09-10
JAX,James O'Shaughnessy,TE,0,0,0,2020-09-10
LVR,Derek Carr,QB,239,0,0,2020-09-10
LVR,Josh Jacobs,RB,0,93,46,2020-09-10
LVR,Henry Ruggs III,WR,0,11,55,2020-09-10
LVR,Darren Waller,TE,0,0,45,2020-09-10
LVR,Bryan Edwards,WR,0,0,9,2020-09-10
LVR,Jason Witten,TE,0,0,2,2020-09-10
CAR,Teddy Bridgewater,QB,269,26,0,2020-09-10
CAR,Christian McCaffrey,RB,0,97,38,2020-09-10
CAR,Alex Armah,RB,0,1,0,2020-09-10
CAR,Robby Anderson,WR,0,0,114,2020-09-10
CAR,D.J. Moore,WR,0,0,54,2020-09-10
CAR,Chris Manhertz,TE,0,0,4,2020-09-10
CHI,Mitchell Trubisky,QB,242,26,0,2020-09-10
CHI,David Montgomery,RB,0,64,10,2020-09-10
CHI,Jimmy Graham,TE,0,0,25,2020-09-10
CHI,Javon Wims,WR,0,0,1,2020-09-10
CHI,Allen Robinson,WR,0,-1,74,2020-09-10
DET,Matthew Stafford,QB,297,23,0,2020-09-10
DET,Kerryon Johnson,RB,0,14,0,2020-09-10
DET,T.J. Hockenson,TE,0,0,56,2020-09-10
DET,Marvin Jones,WR,0,0,55,2020-09-10
DET,Quintez Cephus,WR,0,0,43,2020-09-10
LAC,Tyrod Taylor,QB,208,7,0,2020-09-10
LAC,Austin Ekeler,RB,0,84,3,2020-09-10
LAC,Hunter Henry,TE,0,0,73,2020-09-10
LAC,Mike Williams,WR,0,0,69,2020-09-10
LAC,Keenan Allen,WR,0,0,37,2020-09-10
LAC,Jalen Guyton,WR,0,0,16,2020-09-10
CIN,Joe Burrow,QB,193,46,0,2020-09-10
CIN,Joe Mixon,HB,0,69,2,2020-09-10
CIN,A.J. Green,WR,0,0,51,2020-09-10
CIN,C.J. Uzomah,TE,0,0,45,2020-09-10
CIN,Tyler Boyd,WR,0,0,33,2020-09-10
CIN,John Ross,WR,0,0,17,2020-09-10
TAM,Tom Brady,QB,239,9,0,2020-09-10
TAM,Ronald Jones II,RB,0,66,16,2020-09-10
TAM,Scott Miller,WR,0,6,73,2020-09-10
TAM,Chris Godwin,WR,0,0,79,2020-09-10
TAM,Rob Gronkowski,TE,0,0,11,2020-09-10
TAM,Mike Evans,WR,0,0,2,2020-09-10
NOR,Drew Brees,QB,160,0,0,2020-09-10
NOR,Taysom Hill,QB,38,13,14,2020-09-10
NOR,Alvin Kamara,RB,0,16,51,2020-09-10
NOR,Michael Thomas,WR,0,0,17,2020-09-10
NOR,Tre'Quan Smith,WR,0,0,4,2020-09-10
NOR,Josh Hill,TE,0,0,0,2020-09-10
ARI,Kyler Murray,QB,230,91,0,2020-09-10
ARI,Kenyan Drake,RB,0,60,5,2020-09-10
ARI,DeAndre Hopkins,WR,0,0,151,2020-09-10
