player_id,name,position,date,team,venue,opponent,outcome,goals,assists,shots,ice_time
larssad01,Adam Larsson,D,2019-10-02,EDM,Home,VAN,W,0,0,1,22
chiasal01,Alex Chiasson,RW,2019-10-02,EDM,Home,VAN,W,0,0,2,10
ovechal01,Alex Ovechkin,LW,2019-10-02,WSH,Away,STL,W,1,0,5,23
pietral01,Alex Pietrangelo,D,2019-10-02,STL,Home,WSH,L-OT,1,0,2,23
steenal01,Alex Steen,C,2019-10-02,STL,Home,WSH,L-OT,0,0,0,13
edleral01,Alexander Edler,D,2019-10-02,VAN,Away,EDM,L,1,0,5,25
kerfoal01,Alexander Kerfoot,C,2019-10-02,TOR,Home,OTT,W,0,0,0,14
johnsan01,Andreas Johnsson,LW,2019-10-02,TOR,Home,OTT,W,0,0,3,17
duclaan01,Anthony Duclair,LW,2019-10-02,OTT,Away,TOR,L,0,0,3,16
anisiar01,Artem Anisimov,C,2019-10-02,OTT,Away,TOR,L,0,0,1,19
matthau01,Auston Matthews,C,2019-10-02,TOR,Home,OTT,W,2,0,8,18
goodrba01,Barclay Goodrow,RW,2019-10-02,SJS,Away,VEG,L,0,0,0,15
horvabo01,Bo Horvat,C,2019-10-02,VAN,Away,EDM,L,0,0,1,16
ryanbo01,Bobby Ryan,LW,2019-10-02,OTT,Away,TOR,L,1,0,3,15
tkachbr01,Brady Tkachuk,LW,2019-10-02,OTT,Away,TOR,L,1,0,2,17
pirribr01,Brandon Pirri,C,2019-10-02,VEG,Home,SJS,W,0,0,2,13
suttebr03,Brandon Sutter,C/RW,2019-10-02,VAN,Away,EDM,L,0,0,1,14
mcnabbr01,Brayden McNabb,D,2019-10-02,VEG,Home,SJS,W,0,0,0,22
schenbr01,Brayden Schenn,C,2019-10-02,STL,Home,WSH,L-OT,0,0,2,17
leipsbr01,Brendan Leipsic,LW,2019-10-02,WSH,Away,STL,W,0,0,0,9
dillobr01,Brenden Dillon,D,2019-10-02,SJS,Away,VEG,L,0,0,0,19
burnsbr01,Brent Burns,D/RW,2019-10-02,SJS,Away,VEG,L,0,1,4,26
boesebr01,Brock Boeser,RW,2019-10-02,VAN,Away,EDM,L,0,1,2,20
hagelca01,Carl Hagelin,LW,2019-10-02,WSH,Away,STL,W,0,0,2,10
stephch02,Chandler Stephenson,C,2019-10-02,WSH,Away,STL,W,0,0,1,12
tanevch01,Chris Tanev,D,2019-10-02,VAN,Away,EDM,L,0,0,0,20
tiernch01,Chris Tierney,C,2019-10-02,OTT,Away,TOR,L,0,1,1,17
cecico01,Cody Ceci,D,2019-10-02,TOR,Home,OTT,W,0,0,1,22
glassco01,Cody Glass,C,2019-10-02,VEG,Home,SJS,W,1,0,2,14
caveco01,Colby Cave,C,2019-10-02,EDM,Home,VAN,W,0,0,0,13
whiteco02,Colin White,C,2019-10-02,OTT,Away,TOR,L,0,1,1,16
parayco01,Colton Parayko,D,2019-10-02,STL,Home,WSH,L-OT,0,0,3,24
brownco02,Connor Brown,RW,2019-10-02,OTT,Away,TOR,L,0,1,0,18
mcdavco01,Connor McDavid,C,2019-10-02,EDM,Home,VAN,W,1,0,2,21
proutda01,Dalton Prout,D,2019-10-02,SJS,Away,VEG,L,0,0,1,16
yurtada01,Danil Yurtaykin,F,2019-10-02,SJS,Away,VEG,L,0,0,0,13
nurseda01,Darnell Nurse,D,2019-10-02,EDM,Home,VAN,W,0,1,0,26
perroda01,David Perron,LW,2019-10-02,STL,Home,WSH,L-OT,0,1,3,19
engelde01,Deryk Engelland,D,2019-10-02,VEG,Home,SJS,W,0,0,0,20
orlovdm01,Dmitry Orlov,D,2019-10-02,WSH,Away,STL,W,1,0,4,23
timasdm01,Dmytro Timashov,LW,2019-10-02,TOR,Home,OTT,W,0,1,0,8
bathedr01,Drake Batherson,C,2019-10-02,OTT,Away,TOR,L,0,0,0,11
demeldy01,Dylan DeMelo,D,2019-10-02,OTT,Away,TOR,L,0,0,1,16
gambrdy01,Dylan Gambrell,C,2019-10-02,SJS,Away,VEG,L,0,0,0,11
petteel01,Elias Pettersson,C,2019-10-02,VAN,Away,EDM,L,0,0,2,19
branner01,Erik Brannstrom,D,2019-10-02,OTT,Away,TOR,L,0,0,1,15
bearet01,Ethan Bear,D,2019-10-02,EDM,Home,VAN,W,0,0,0,15
chlapfi01,Filip Chlapik,C,2019-10-02,OTT,Away,TOR,L,0,1,0,5
gauthfr01,Frederik Gauthier,C,2019-10-02,TOR,Home,OTT,W,1,0,1,9
haasga01,Gaetan Haas,F,2019-10-02,EDM,Home,VAN,W,0,0,0,2
hathaga01,Garnet Hathaway,RW,2019-10-02,WSH,Away,STL,W,0,0,0,10
mikheil01,Ilya Mikheyev,F,2019-10-02,TOR,Home,OTT,W,1,1,1,15
barbaiv01,Ivan Barbashev,C,2019-10-02,STL,Home,WSH,L-OT,0,0,0,13
millejt01,J.T. Miller,C,2019-10-02,VAN,Away,EDM,L,0,1,0,19
schwaja01,Jaden Schwartz,C,2019-10-02,STL,Home,WSH,L-OT,0,0,0,16
muzzija01,Jake Muzzin,D,2019-10-02,TOR,Home,OTT,W,0,0,1,22
virtaja01,Jake Virtanen,RW,2019-10-02,VAN,Away,EDM,L,0,0,0,9
vranaja01,Jakub Vrana,LW,2019-10-02,WSH,Away,STL,W,1,0,5,17
nealja01,James Neal,LW,2019-10-02,EDM,Home,VAN,W,0,0,2,14
beaglja01,Jay Beagle,RW/C,2019-10-02,VAN,Away,EDM,L,0,0,0,11
bouwmja01,Jay Bouwmeester,D,2019-10-02,STL,Home,WSH,L-OT,0,0,0,24
pageaje01,Jean-Gabriel Pageau,C,2019-10-02,OTT,Away,TOR,L,0,1,0,13
nygarjo01,Joakim Nygard,F,2019-10-02,EDM,Home,VAN,W,0,0,2,9
thornjo01,Joe Thornton,C,2019-10-02,SJS,Away,VEG,L,0,0,1,15
carlsjo01,John Carlson,D,2019-10-02,WSH,Away,STL,W,0,2,0,27
tavarjo01,John Tavares,C,2019-10-02,TOR,Home,OTT,W,0,1,2,18
siegejo01,Jonas Siegenthaler,D,2019-10-02,WSH,Away,STL,W,0,0,1,18
audymjo01,Jonathan Marchessault,C,2019-10-02,VEG,Home,SJS,W,0,0,1,15
merrijo01,Jonathon Merrill,D,2019-10-02,VEG,Home,SJS,W,0,0,4,23
bennjo01,Jordie Benn,D,2019-10-02,VAN,Away,EDM,L,0,0,0,13
archijo01,Josh Archibald,RW,2019-10-02,EDM,Home,VAN,W,0,0,1,12
leivojo01,Josh Leivo,LW,2019-10-02,VAN,Away,EDM,L,0,0,5,14
khairju01,Jujhar Khaira,LW,2019-10-02,EDM,Home,VAN,W,0,0,1,15
faulkju01,Justin Faulk,D,2019-10-02,STL,Home,WSH,L-OT,0,1,0,21
kapanka01,Kasperi Kapanen,RW,2019-10-02,TOR,Home,OTT,W,0,0,1,18
labanke01,Kevin Labanc,RW,2019-10-02,SJS,Away,VEG,L,0,0,3,17
russekr01,Kris Russell,D,2019-10-02,EDM,Home,VAN,W,0,0,0,16
ellerla01,Lars Eller,C,2019-10-02,WSH,Away,STL,W,0,2,4,17
bergmle01,Lean Bergmann,F,2019-10-02,SJS,Away,VEG,L,0,0,1,12
draisle01,Leon Draisaitl,C,2019-10-02,EDM,Home,VAN,W,1,2,6,26
coutulo01,Logan Couture,C,2019-10-02,SJS,Away,VEG,L,0,1,1,18
erikslo01,Loui Eriksson,LW,2019-10-02,VAN,Away,EDM,L,0,0,1,13
radillu01,Lukas Radil,C,2019-10-02,SJS,Away,VEG,L,0,0,1,15
vlasima01,Marc-Edouard Vlasic,D,2019-10-02,SJS,Away,VEG,L,0,0,1,19
sorenma01,Marcus Sorensen,RW,2019-10-02,SJS,Away,VEG,L,1,0,1,13
ferrama01,Mario Ferraro,D,2019-10-02,SJS,Away,VEG,L,0,0,1,18
borowma01,Mark Borowiecki,D,2019-10-02,OTT,Away,TOR,L,0,1,1,15
stonema01,Mark Stone,RW,2019-10-02,VEG,Home,SJS,W,1,1,1,19
granlma01,Markus Granlund,C,2019-10-02,EDM,Home,VAN,W,0,0,0,10
feherma01,Martin Fehervary,D,2019-10-02,WSH,Away,STL,W,0,0,0,13
marinma01,Martin Marincin,D,2019-10-02,TOR,Home,OTT,W,0,0,2,13
bennima01,Matt Benning,D,2019-10-02,EDM,Home,VAN,W,0,2,0,11
pacioma01,Max Pacioretty,LW,2019-10-02,VEG,Home,SJS,W,0,1,5,19
karlsme01,Melker Karlsson,C,2019-10-02,SJS,Away,VEG,L,0,0,0,10
ferlami01,Micheal Ferland,LW,2019-10-02,VAN,Away,EDM,L,0,0,2,17
marnemi01,Mitch Marner,RW,2019-10-02,TOR,Home,OTT,W,0,1,3,19
riellmo01,Morgan Rielly,D,2019-10-02,TOR,Home,OTT,W,0,1,5,25
schmina01,Nate Schmidt,D,2019-10-02,VEG,Home,SJS,W,0,0,0,3
dowdni01,Nic Dowd,C,2019-10-02,WSH,Away,STL,W,0,0,0,9
holdeni01,Nick Holden,D,2019-10-02,VEG,Home,SJS,W,0,0,1,23
jenseni02,Nick Jensen,D,2019-10-02,WSH,Away,STL,W,0,1,0,20
shoreni01,Nick Shore,C,2019-10-02,TOR,Home,OTT,W,0,0,0,8
backsni02,Nicklas Backstrom,C,2019-10-02,WSH,Away,STL,W,0,0,5,22
zaitsni01,Nikita Zaitsev,D,2019-10-02,OTT,Away,TOR,L,0,0,4,23
klefbos01,Oscar Klefbom,D,2019-10-02,EDM,Home,VAN,W,0,0,3,24
sundqos01,Oskar Sundqvist,C,2019-10-02,STL,Home,WSH,L-OT,0,0,0,13
stastpa01,Paul Stastny,C,2019-10-02,VEG,Home,SJS,W,0,0,1,17
hughequ01,Quinn Hughes,D,2019-10-02,VAN,Away,EDM,L,0,1,0,23
gudasra01,Radko Gudas,D,2019-10-02,WSH,Away,STL,W,0,0,2,14
sandira01,Rasmus Sandin,D,2019-10-02,TOR,Home,OTT,W,0,1,2,8
smithre01,Reilly Smith,RW,2019-10-02,VEG,Home,SJS,W,2,0,5,14
panikri01,Richard Panik,RW,2019-10-02,WSH,Away,STL,W,0,0,0,14
fabbrro01,Robby Fabbri,C,2019-10-02,STL,Home,WSH,L-OT,0,0,0,8
borturo01,Robert Bortuzzo,D,2019-10-02,STL,Home,WSH,L-OT,0,0,1,12
thomaro01,Robert Thomas,C,2019-10-02,STL,Home,WSH,L-OT,0,0,1,9
hainsro01,Ron Hainsey,D,2019-10-02,OTT,Away,TOR,L,0,0,0,17
nugenry01,Ryan Nugent-Hopkins,C,2019-10-02,EDM,Home,VAN,W,0,0,1,21
oreilry01,Ryan O'Reilly,C,2019-10-02,STL,Home,WSH,L-OT,0,2,3,20
reavery01,Ryan Reaves,RW,2019-10-02,VEG,Home,SJS,W,0,0,0,10
blaissa01,Sammy Blais,LW,2019-10-02,STL,Home,WSH,L-OT,1,0,2,14
sabousc01,Scott Sabourin,F,2019-10-02,OTT,Away,TOR,L,1,0,3,8
theodsh01,Shea Theodore,D,2019-10-02,VEG,Home,SJS,W,0,0,3,23
oshietj01,T.J. Oshie,C/RW,2019-10-02,WSH,Away,STL,W,0,1,3,20
